CODICE;Geo Point;Geo Shape
16271;44.48764916437792, 11.331090341415953;"{""coordinates"": [11.331090341415953, 44.48764916437792], ""type"": ""Point""}"
16273;44.48682869160161, 11.330363404432584;"{""coordinates"": [11.330363404432584, 44.48682869160161], ""type"": ""Point""}"
8788;44.50237442125819, 11.310106709028856;"{""coordinates"": [11.310106709028856, 44.50237442125819], ""type"": ""Point""}"
8785;44.501198219002966, 11.3114105598131;"{""coordinates"": [11.3114105598131, 44.501198219002966], ""type"": ""Point""}"
8794;44.50211605398249, 11.313511989730696;"{""coordinates"": [11.313511989730696, 44.50211605398249], ""type"": ""Point""}"
8792;44.5014031376132, 11.31300386393597;"{""coordinates"": [11.31300386393597, 44.5014031376132], ""type"": ""Point""}"
6781;44.47987528700362, 11.392259430880472;"{""coordinates"": [11.392259430880472, 44.47987528700362], ""type"": ""Point""}"
6812;44.47320192662285, 11.399570517936327;"{""coordinates"": [11.399570517936327, 44.47320192662285], ""type"": ""Point""}"
6708;44.47367001238964, 11.392233956944766;"{""coordinates"": [11.392233956944766, 44.47367001238964], ""type"": ""Point""}"
6835;44.47481460151408, 11.391160283349926;"{""coordinates"": [11.391160283349926, 44.47481460151408], ""type"": ""Point""}"
6827;44.47525413355578, 11.393027896109833;"{""coordinates"": [11.393027896109833, 44.47525413355578], ""type"": ""Point""}"
6816;44.475414106503024, 11.395834525256362;"{""coordinates"": [11.395834525256362, 44.475414106503024], ""type"": ""Point""}"
6834;44.47668687566601, 11.39247834375361;"{""coordinates"": [11.39247834375361, 44.47668687566601], ""type"": ""Point""}"
6842;44.47666274108216, 11.390171822883266;"{""coordinates"": [11.390171822883266, 44.47666274108216], ""type"": ""Point""}"
6832;44.47631396121706, 11.393459196060473;"{""coordinates"": [11.393459196060473, 44.47631396121706], ""type"": ""Point""}"
15846;44.47813913889225, 11.394861545636829;"{""coordinates"": [11.394861545636829, 44.47813913889225], ""type"": ""Point""}"
15845;44.4776748432232, 11.396030807905959;"{""coordinates"": [11.396030807905959, 44.4776748432232], ""type"": ""Point""}"
6846;44.474525032289016, 11.397059453944676;"{""coordinates"": [11.397059453944676, 44.474525032289016], ""type"": ""Point""}"
15755;44.47520620509125, 11.397579013861417;"{""coordinates"": [11.397579013861417, 44.47520620509125], ""type"": ""Point""}"
6817;44.47448517622731, 11.398243355435438;"{""coordinates"": [11.398243355435438, 44.47448517622731], ""type"": ""Point""}"
13948;44.49721640052019, 11.371941482751767;"{""coordinates"": [11.371941482751767, 44.49721640052019], ""type"": ""Point""}"
10626;44.50907936248705, 11.375563472146451;"{""coordinates"": [11.375563472146451, 44.50907936248705], ""type"": ""Point""}"
13954;44.49318115447994, 11.37636836030205;"{""coordinates"": [11.37636836030205, 44.49318115447994], ""type"": ""Point""}"
13955;44.49205605901668, 11.376000636023008;"{""coordinates"": [11.376000636023008, 44.49205605901668], ""type"": ""Point""}"
13956;44.49402884844922, 11.37766786064558;"{""coordinates"": [11.37766786064558, 44.49402884844922], ""type"": ""Point""}"
13959;44.49416217113372, 11.379354026470779;"{""coordinates"": [11.379354026470779, 44.49416217113372], ""type"": ""Point""}"
13960;44.49469254890421, 11.379674059555013;"{""coordinates"": [11.379674059555013, 44.49469254890421], ""type"": ""Point""}"
13961;44.494698750735346, 11.379046977603544;"{""coordinates"": [11.379046977603544, 44.494698750735346], ""type"": ""Point""}"
13965;44.50833309297713, 11.389679068781806;"{""coordinates"": [11.389679068781806, 44.50833309297713], ""type"": ""Point""}"
13966;44.499438054510485, 11.39000924521898;"{""coordinates"": [11.39000924521898, 44.499438054510485], ""type"": ""Point""}"
13967;44.49914540355834, 11.387972206863918;"{""coordinates"": [11.387972206863918, 44.49914540355834], ""type"": ""Point""}"
13979;44.47750286574861, 11.294570015087062;"{""coordinates"": [11.294570015087062, 44.47750286574861], ""type"": ""Point""}"
4195;44.46698696308416, 11.2919952509207;"{""coordinates"": [11.2919952509207, 44.46698696308416], ""type"": ""Point""}"
15969;44.4899282205538, 11.29914617374862;"{""coordinates"": [11.29914617374862, 44.4899282205538], ""type"": ""Point""}"
13987;44.49106394234824, 11.309631078620619;"{""coordinates"": [11.309631078620619, 44.49106394234824], ""type"": ""Point""}"
14953;44.49375866368203, 11.362988993602118;"{""coordinates"": [11.362988993602118, 44.49375866368203], ""type"": ""Point""}"
14954;44.49355938240803, 11.364495887831211;"{""coordinates"": [11.364495887831211, 44.49355938240803], ""type"": ""Point""}"
14958;44.49342603047422, 11.364879903994858;"{""coordinates"": [11.364879903994858, 44.49342603047422], ""type"": ""Point""}"
